#
# --- THIS DATASET HAS BEEN PREPARED IN THE CONTEXT OF A RESEARCH PROJECT. DATA SHOULD NOT BE USED TO SUPPORT THE DESIGN OF FLOOD MITIGATION INFRASTRUCTURE. ---
# Author : Julien Lerat, CSIRO Environment
# Reference : Lerat and Vaze (2025), When the impossible flood happens: how February 2022 redefines extreme floods in Australia. Communications Earth and Environment
# Version : 5
# Date : 2025-04-13 11:52:33.846679
# Source file : DATA_prepare_flood_data.py
#
FLOODID,EVENT,ZONE,REGION,CATEGORY,START_DATE,END_DATE,FATALITIES,INJURED,INSURED_COST,URL,DESCRIPTION,SOURCES,LONGITUDE_MIN,LONGITUDE_MAX,LATITUDE_MIN,LATITUDE_MAX,INSURANCECOUNCILAUSTRALIA_CATID,INSURANCECOUNCILAUSTRALIA_DESCRIPTION,INSURANCECOUNCILAUSTRALIA_NORMLOSSVALUE,INSURANCECOUNCILAUSTRALIA_TOTALCLAIMS,STATES,SHORTNAME,MORE_THAN_5_SITES_AVAILABLE
NorthEastVIC-Oct93,Flood - North-Eastern Victoria,Victoria,Melbourne,Flood,1993-10-03,1993-10-04,,,12000000,https://knowledge.aidr.org.au/resources/flood-north-eastern-victoria-1993/,"From 3-4 October, heavy rainfall fell over a 24 hour period causing severe flooding in the north-eastern region of Victoria. Rainfall recorded during this period was 200 mm, with 165 mm recorded in Benalla...Districts affected by the flood included; Benalla, Euroa, Violet Town, Myrtleford. The flood water took some days to reach Shepparton and Nathalia due to the topography and the slow movement of the water. The flood waters covered 40 000 square km, and remained for days or weeks...The impact of the flood was extensive and included; 8 000 people affected; 1,500 people evacuated from their homes; 3 000 households damaged; 95 per cent of commercial businesses in the Benalla district affected; five bridges damaged or destroyed; several roads cut; 400 km rural fencing damaged; Telephone services, power, sewage and water infrastructure affected; and crops and livestock losses...The estimated cost to replace local buildings, roads, and recreation reserves was estimated in 1993 values to be between $3 million and $5 million, businesses losses estimated at $10 million and agricultural losses approximately $30 million. Many premises were uninsured. The recovery period for the district took 18 months...The Insurance Council of Australia estimated the 1993 damage at $12 million, with the 2011 estimated normalised cost of $44 million.","Buckle, P, 1996, ‘Innovations in recovery management: The 1993 North Eastern Victoria floods’, Australian Journal of Emergency Management, vol. 11 (2), p 33-35
Commemorative Special Feature, Benalla 1993 Flood, pp 2-4
Keating, T, 1996, ‘The October floods 1993 – Lessons for the management of community recovery’, Australian Journal of Emergency Management, vol. 11 (2), p36-40
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 25 May 2012
State Emergency Services, Floodsafe better safe than sorry Benalla region, brochure, July 2009
Wapling, D, 1996, ‘October 1993 floods – impact on Benalla and the District: A local Government perspective’, Australian Journal of Emergency Management, vol. 11 (2), p27-32",142.0,151.0,-40.0,-35.0,931,"From 3-4 October, heavy rainfall fell over a 24 hour period causing severe flooding in the north-eastern region of Victoria. Rainfall recorded during this period was 200 mm, with 165 mm recorded in Benalla. Districts affected by the flood included; Benalla, Euroa, Violet Town, Myrtleford. The flood water took some days to reach Shepparton and Nathalia due to the topography and the slow movement of the water. The flood waters covered 40 000 square km, and remained for days or weeks. The impact of the flood was extensive and included; 8 000 people affected; 1,500 people evacuated from their homes; 3 000 households damaged; 95 per cent of commercial businesses in the Benalla district affected; five bridges damaged or destroyed; several roads cut; 400 km rural fencing damaged; Telephone services, power, sewage and water infrastructure affected; and crops and livestock losses.",97200000.0,0.0,VIC,Oct93,1
CycRewa-Jan94,Cyclone Rewa,Queensland,Brisbane,Cyclone,1993-12-31,1994-01-25,4.0,,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-rewa-queensland-1993/,"Tropical Cyclone Rewa formed east of the Solomon Islands on 31 December 1993. It circled in the Coral Sea for three weeks before intensifying and causing extensive damage and flash flooding in south-east Queensland on 20 January 1994...In Brisbane 100 homes and 20 cars were damaged by water, and a total of four deaths were recorded.","Bureau of Meteorology, Tropical Cyclone Rewa 28 December 1993 – 21 January 1994, website viewed 4 May 2011
Windworker, Queensland Cyclones, website viewed 5 May 2011
Bureau of Meteorology, Tropical Cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 5 May 2011",150.0,155.0,-30.0,-25.0,,,,,QLD,Jan94,0
CycBobby-Feb95,Cyclone Bobby,Western Australia,Dampier,Cyclone,1995-02-24,1995-02-27,8.0,,11000000,https://knowledge.aidr.org.au/resources/cyclone-cyclone-bobby-western-australia/,"Cyclone Bobby travelled south along the west coast of Australia and passed near Onslow...Seven lives were lost when two fishing trawlers sunk off the coast from Onslow, and a motorist drowned while attempting to cross a flooded creek at Canarvon...The cyclone moved along the Pilbara coast, crossing to the east of Onslow:..The highest recorded wind gust was 183 kilometres per hour at Onslow..A gust of 166 kilometres per hour was recorded on Varanus Island, off the Western Australian coast..Over 400 millimetres of rain falling in the Onslow area..The event damaged homes and buildings; the rains flooded roads and damaged bridges and crops:..The Karratha area reported minor property damage..In Onslow, the roofs of approximately 20 houses were damaged..Damage was also reported at pastoral stations between Onslow and Gascoyne Junction.. The mining industry was severely impacted...The Insurance Council of Australia estimated the 1995 damage at $11 million, with the 2012 estimated normalised cost of $48 million.","Bureau of Metrology, Tropical cyclone Bobby, website viewed 8 March 2011.
Insurance Council Australia, Historical disaster statistics, January 2012, website viewed 23 April 2012.",110.0,130.0,-30.0,-10.0,951,"Cyclone Bobby travelled south along the west coast of Australia and passed near Onslow. It caused considerable damage to homes and buildings bringing heavy rains which flooded roads, damaged bridges, and caused damage to crops. The mining industry was severely affected. The cyclone moved slowly and erratically along the Pilbara coast crossing just to the east of Onslow. The highest recorded wind gust was 183 km per hour at Onslow. A gust of 166 km per hour was recorded on Varanus Island off the Western Australian coast. Very heavy rainfall accompanied Bobby, with more than 400 mm of rain falling in the Onslow area. Very minor property damage was reported from the Karratha area. Approximately 20 houses at Onslow sustained superficial roofing damage. Pastoral stations along the track between Onslow and Gascoyne Junction reported property damage. Seven lives were lost when two fishing trawlers sunk off the coast from Onslow, and a motorist drowned while attempting to cross a flooded creek at Canarvon.",68400000.0,0.0,WA,Feb95,1
SEQNNSW-May96,Flood - Southern Queensland and Northern New South Wales,"Queensland , New South Wales","Brisbane , Lismore (NSW)",Flood,1996-05-01,1996-05-09,5.0,20.0,31000000,https://knowledge.aidr.org.au/resources/flood-southern-queensland-and-northern-new-south-wales-1996/,"In the first week of May widespread flooding and heavy rainfall was reported in south-east Queensland and northern New South Wales. An East Coast Low commenced at the end of April and caused heavy seas, strong winds and heavy rainfall. A tidal surge created by the low pressure system caused above average tidal conditions and storm force winds of up to 65 knots were recorded at Moreton Island. Water catchment areas recorded up to 1000 mm, with the worst affected areas Brisbane and the Darling Downs region. Furthermore the extreme weather conditions also affected the Lockyer creek, Bremer and Logan rivers...Both Queensland and New South Wales reported extensive damage to farming areas, including vegetable and cotton crops...There were five deaths recorded...The Insurance Council of Australia estimated the 1996 damage at $31m with, the 2007 estimated repeated cost of $87m","Bureau of Meteorology, Queensland flood summary 1990 - 1999, website viewed 2 May 2011
Bureau of Meteorology, Severe weather and flooding: south-east Queensland, May 1996, website viewed 2 May 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 25 May 2012
'Modeling of May 1996 East Coast Low Event in South-East Queensland,’ Golshani, A, Splinter, K, Thurston W, Tomlinson, R, Griffith Centre for Coastal Management, Queensland Coastal Conference 2011 conference paper, p. 1, website viewed 3 February 2015",150.0,155.0,-35.0,-25.0,963,"In the first week of May widespread flooding and heavy rainfall was reported in south-east Queensland and northern New South Wales. An East Coast Low commenced at the end of April and caused heavy seas, strong winds and heavy rainfall. A tidal surge created by the low pressure system caused above average tidal conditions and storm force winds of up to 65 knots were recorded at Moreton Island. Water catchment areas recorded up to 1000 mm, with the worst affected areas Brisbane and the Darling Downs region. Furthermore the extreme weather conditions also affected the Lockyer creek, Bremer and Logan rivers. Both Queensland and New South Wales reported extensive damage to farming areas, including vegetable and cotton crops. There were five deaths recorded.",251200000.0,0.0,NSW/QLD,May96,1
CycJustin-Mar97,Cyclone Justin,Queensland,"Cairns , Townsville",Cyclone,1997-03-06,1997-03-24,2.0,20.0,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-justin-north-queensland-1997/,"Tropical cyclone Justin developed on 7 March 1997 after two lows merged in a very active monsoon trough in the Coral Sea. Justin sat in the Coral Sea for three days, causing high winds and huge swells. Maximum intensity was recorded on 9 March; the cyclone was downgraded to a tropical low on 13 March. Justin then drifted north and re-intensified to tropical cyclone strength on 14 March, reaching peak intensity on 18 March before weakening and crossing the coast north-west of Cairns on 22 March...The cyclone caused damage between Townsville and Cairns; bringing heavy rainfall, large seas and gale to storm-force winds. One person was killed in a landslide at Paluma, near Townsville; another person died from electrocution due to a fallen power line at Innisfail, 70 kilometres south-south-east of Cairns. ..Thirty people died in Papua New Guinea earlier in the life cycle of the cyclone event. A further five people died when their yacht was destroyed. As a result of the cyclone, the agricultural industry reportedly suffered losses of around $150 million with a total cost of $205 million. ","AAP General News Wire, ‘QLD: Australia's worst recent cyclones’, viewed on ProQuest website (ID 2253782701), 29 April 2011.
ABC Premium News, ‘Factbox: Australia's worst cyclones’, viewed on ProQuest website (ID 2257551071), 29 April 2011.
Bureau of Meteorology, Severe Tropical Cyclone Justin 6 - 24 March 1997, website viewed 29 April 2011.
Sydney Morning Herald, ‘Science Writer Reef may take 50 years to recover from cyclone’, 16 May 1997, p 6, viewed on ProQuest website (ID 713901171), 29 April 2011.",142.0,150.0,-25.0,-14.0,972,"Two lows merged in a very active monsoon trough in the Coral Sea and developed into Tropical Cyclone Justin on 7 March. Tropical Cyclone Justin sat in the Coral Sea for three days, causing high winds and huge swells and maximum intensity was recorded on 9 March. It was downgraded to a tropical low on 13 March. The cyclone then drifted north and re-intensified to tropical cyclone strength on 14 March, reaching peak intensity on 18 March before weakening and crossing the coast north-west of Cairns on 22 March. The combined effects of heavy rain, large seas and gale to storm force winds caused widespread damage in the region between Cairns and Townsville and the loss of two lives (one person by a landslide at Paluma near Townsville, and one person electrocuted by a fallen power line at Innisfail 70 km south south-east of Cairns) Earlier in Justin's life cycle 30 people were killed in Papua New Guinea and five people died when their yacht was destroyed. Justin was reportedly responsible for an estimated loss of $150 million to the agricultural industry alone.",1019600000.0,0.0,QLD,Mar97,1
CycSid-Jan98,Flood - Townsville,Queensland,"Cairns , Townsville",Flood,1998-01-10,1998-01-12,1.0,,71000000,https://knowledge.aidr.org.au/resources/flood-townsville-1998/,"Tropical Cyclone Sid caused heavy rain and widespread flooding to areas in the northern regions of Queensland, between Cairns and Townsville. Townsville recorded 549 mm of rain in a 24 hour period, and as a result, 50 per cent of the town lost their power supply. Other major areas affected included Blue Water Creek, Black River, Rollingstone, Paluma, Ingham, Halifax and Charters Towers...The heavy deluge resulted in extensive damage throughout the affected regions. At Thuringowa, 48 houses were seriously flooded, 14 creek and riverside homes were lost, and 33 were left severely damaged. Elsewhere, infrastructure including roads, highways, bridges, railways and power lines were badly affected. Furthermore, the flash flood inundated multiple buildings and houses along with widespread damage to both agricultural and horticultural industries. The floodwaters ruined crops, with cane growers particularly impacted.  One death was recorded as a result of this event...The Insurance Council of Australia estimated the 1998 damage at $71 million, with the 2011 estimated normalised cost of $245 million.","Bureau of Meteorology, Flood warning system for the Ross, Bohle and Black Rivers, August 2014, website viewed 28 January 2015
Bureau of Meteorology, Queensland flood summary 1990-1999, website viewed 17 May 2011
Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November 1858 to 2000 website viewed 17 May 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 25 May 2012",140.0,155.0,-25.0,-10.0,,,,,QLD,Jan98-1,1
CycLes-Jan98,Flood - Katherine Floods,Northern Territory,Katherine,Flood,1998-01-25,1998-02-02,3.0,30.0,70000000,https://knowledge.aidr.org.au/resources/flood-katherine-northern-territory/,"On 24 January 1998, Tropical Cyclone Les developed over the Gulf of Carpentaria. As the cyclone reached land it weakened into a rain depression which moved towards Katherine...In Katherine, rainfall began on 25 January and continued steadily for three days. During this time between 400 and 500 mm fell over the Katherine, Roper and Daly River catchments. Three people drowned in the floodwaters...After two days of steady rain, on 27 January 1998, the Katherine River had risen to more than 20 m. The main street was covered by 2 m of muddy water and 2000 people abandoned their homes and possessions. Roads and transport links were extensively damaged and it took a number of days to repair. The community at Daly River was also affected by the flood as it moved downstream and 400 people were subsequently evacuated. Residents in the Roper and Moyle River catchment areas were also affected, with evacuations taking place from communities in these areas. ..The Insurance Council of Australia estimated the 1998 damage at $70 million, with the 2011 estimated normalised cost of $201 million.","Bureau of Meteorology, ‘Katherine floods, January 1998,’ Climate Education, website viewed 28 January 2015
Bureau of Transport and Regional Economics, Benefits of flood mitigation in Australia, report 106, 2002, pp 74
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 25 May 2012
Our Territory, Katherine Region NT Northern Territory Australia, viewed 25 February 2011
Risk Frontiers, Katherine Flood 2006, Newsletter June 2006, Vol. 5, No. 4",122.0,141.0,-22.0,-10.0,983,"On 24 January 1998, Tropical Cyclone Les developed over the Gulf of Carpentaria. As the cyclone reached land it weakened into a rain depression which moved towards Katherine. In Katherine, rainfall began on 25 January and continued steadily for three days. During this time between 400 and 500 mm fell over the Katherine, Roper and Daly River catchments. Three people drowned in the floodwaters. After two days of steady rain, on 27 January 1998, the Katherine River had risen to more than 20 m. The main street was covered by 2 m of muddy water and 2000 people abandoned their homes and possessions. Roads and transport links were extensively damaged and it took a number of days to repair. The community at Daly River was also affected by the flood as it moved downstream and 400 people were subsequently evacuated. Residents in the Roper and Moyle River catchment areas were also affected, with evacuations taking place from communities in these areas.",302000000.0,0.0,NT,Jan98-2,1
Sydney-Aug98,Flood - Sydney and Wollongong,New South Wales,"Sydney , Wollongong",Flood,1998-08-17,1998-08-19,1.0,,40000000,https://knowledge.aidr.org.au/resources/flood-sydney-and-wollongong-1998/,"During the period 17 – 18 August, a low pressure trough moved along the central and southern New South Wales coast, causing heavy rainfall. On 17 August between the hours 6 pm to 9 pm, a thunderstorm remained over the Wollongong area dumping heavy falls. Minor flooding had occurred on the days leading up to the storm, and on 17 August the flood peak occurred in most catchments between 7 pm and 8 pm. Due to the flash flooding, many areas were isolated until 9pm...Major roads and train lines to Wollongong were disrupted and mudslides were reported on some roads, including Bulli Pass. A railway embankment failure at Coledale resulted in train delays for up to a week. Fifty homes were flooded in north Wollongong, and it was reported that homes along the coast were dislodged from their foundations. One person drowned while attempting to cross a flooded creek at Bellambi...Damage recorded in Sydney suburbs included; erosion of beach side suburbs, 14 metropolitan roads blocked, power loss to thousands of homes and trees and power lines brought down by winds reported to have reached 92 km/h...Due to the impact of the flood, the State Emergency Services (SES) obtained access to the Natural Disaster Relief Arrangements (NDRA) funding which assisted in the response efforts. During the cleanup operation up to 450 personnel assisted and 41 SES volunteer units sent teams into Wollongong...Rainfall levels recorded for 24 hours to 09:00am on 18 August were:.Mt Ousley: 445mm.Bulli Pass: 410mm.Keiraville: 337mm.Figtree: 313mm.Wollongong: 316mm..The Insurance Council of Australia estimated the 1998 damage at $40 million, with the 2011 estimated normalised cost of $97 million.","I Hunt and P KofodA Fletcher, ‘Wollongong storm of August 1998: a survey of affected residents two years on’ (2002) Australian Journal of Emergency Management, Vol.17 No.1, Autumn 2002, pp.38-41
Bureau of Meteorology, Summary of significant severe thunderstorm events in NSW 1990/2000, website viewed 8 July 2011
I Hunt and P Kofod, ‘Wollonging Floods,’ 40th Annual Conference, NSW Floodplain Management Authorities, viewed online 28 January 2015
Illawarra Mercury, ‘Storm widow remembers flood tragedy’, 14 August 2008, website viewed 8 July 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 25 May 2012
State Emergency Service, Emergency response to the Wollongong floods August 1998, 5 April 2011, website viewed 8 July 2011
State Emergency Services, The August 1998 Wollongong storm, website viewed 8 July 2011",149.0,152.5,-37.0,-32.6,989,"During the period 17 – 18 August, a low pressure trough moved along the central and southern New South Wales coast, causing heavy rainfall. On 17 August between the hours 6 pm to 9 pm, a thunderstorm remained over the Wollongong area dumping heavy falls. Minor flooding had occurred on the days leading up to the storm, and on 17 August the flood peak occurred in most catchments between 7 pm and 8 pm. Due to the flash flooding, many areas were isolated until 9pm. Major roads and train lines to Wollongong were disrupted and mudslides were reported on some roads, including Bulli Pass. A railway embankment failure at Coledale resulted in train delays for up to a week. Fifty homes were flooded in north Wollongong, and it was reported that homes along the coast were dislodged from their foundations. One person drowned while attempting to cross a flooded creek at Bellambi. Damage recorded in Sydney suburbs included; erosion of beach side suburbs, 14 metropolitan roads blocked, power loss to thousands of homes and trees and power lines brought down by winds reported to have reached 92 km/h. Due to the impact of the flood, the State Emergency Services (SES) obtained access to the Natural Disaster Relief Arrangements (NDRA) funding which assisted in the response efforts. During the cleanup operation up to 450 personnel assisted and 41 SES volunteer units sent teams into Wollongong.",187600000.0,0.0,NSW,Aug98,1
CycVance-Mar99,Cyclone Vance,Western Australia,"Dampier , Exmouth Gulf , Port Hedland",Cyclone,1999-03-18,1999-03-24,,,35000000,https://knowledge.aidr.org.au/resources/cyclone-cyclone-vance-western-australia/,"Cyclone Vance developed off the coast of Darwin between 17 and 18 March, intensifying as it tracked to the west south-west then to the south before crossing the coast near Exmouth on 22 March as a Category 5 system. Wind speeds were recorded at 267 km per hour at Learmonth and 174 km per hour at Onslow. By the 23 March at 4 am it was near the town of Mount Magnet and was moving southeast at 50 km per hour...Cyclone Vance was downgraded to Category 1 and passed to the northeast of Kalgoorlie on the 23 March 2011 at approximately 3 pm...The storm surge associated with Cyclone Vance caused severe erosion of the beachfront and marina at Exmouth and stranded three large barges on the edge of Beadon Creek at Onslow. The storm surge at Exmouth was measured at 3.5 m which resulted in a storm tide of 4.9 m...Severe structural damage occurred to approximately 10 per cent of buildings in Exmouth; many more experienced less obvious damage due to the intrusion of rainwater. Other damage was recorded in the far west of Pilbara, including damage in the town of Cue. Water and power supplies throughout the Gascoyne and Goldfields were disrupted and many homesteads sustained wind or flooding damage. The main rail and road links to the eastern states were cut...The Insurance Council of Australia estimated the 1999 damage at $35 million, with the 2011 estimated normalised cost at $108 million.","AAP General News Wire, ‘WA Exmouth unscathed but Coral Bay on red alert', 20 February 2008, viewed on Proquest website (ID 143147529115), 15 April 2011
Bureau of Meteorology, Tropical Cyclone Vance 18 – 24 March 1999, website viewed 15 April 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 April 2012
The Age, ‘PM pledges $10m for cyclone aid', 26 March 1999, viewed on Proquest website (ID716521321),15 April 2011 ",110.0,135.0,-30.0,-10.0,994,"Cyclone Vance developed off the coast of Darwin between 17 and 18 March, intensifying as it tracked to the west south-west then to the south before crossing the coast near Exmouth on 22 March as a Category 5 system. Wind speeds were recorded at 267 km per hour at Learmonth and 174 km per hour at Onslow. By the 23 March at 4 am it was near the town of Mount Magnet and was moving southeast at 50 km per hour. Cyclone Vance was downgraded to Category 1 and passed to the northeast of Kalgoorlie on the 23 March 2011 at approximately 3 pm. The storm surge associated with Cyclone Vance caused severe erosion of the beachfront and marina at Exmouth and stranded three large barges on the edge of Beadon Creek at Onslow. The storm surge at Exmouth was measured at 3.5 m which resulted in a storm tide of 4.9 m. Severe structural damage occurred to approximately 10 per cent of buildings in Exmouth; many more experienced less obvious damage due to the intrusion of rainwater. Other damage was recorded in the far west of Pilbara, including damage in the town of Cue. Water and power supplies throughout the Gascoyne and Goldfields were disrupted and many homesteads sustained wind or flooding damage. The main rail and road links to the eastern states were cut.",197300000.0,0.0,WA,Mar99,1
Melbourne-Dec99,Flood - Melbourne and Central Victoria,Victoria,Melbourne,Flood,1999-12-26,1999-12-28,,,10000000,https://knowledge.aidr.org.au/resources/flood-melbourne-and-central-victoria-1999/,"On 26 to 28 December 1999, high rainfall in the northern suburbs of Melbourne caused localised flooding. In Carisbrook, central Victoria, over the same period the local catchment area received the most significant rainfall totals in more than 100 years. The southwest side of the town was flooded by overland flows from the Mosquito Flat and Craigie catchment area between Carisbrook and Maryborough. A number of properties in the town were affected and the Pyrenees Highway was closed...The Insurance Council of Australia estimated the 1999 damage at $10 million, with the 2011 estimated normalised cost of $23 million.","Central Goldfields Shire Flood Emergency Plan: a sub-plan of the Municipal Emergency Management Plan, Version 1 June 2013, viewed online 27 January 2015

Goulburn Broken Catchment Management Authority, Flood Victoria, 1971 to 2000 floods, website viewed 28 September 2011

Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 15 May 2012",142.0,148.0,-40.0,-36.0,998,"On 26 to 28 December 1999, high rainfall in the northern suburbs of Melbourne caused localised flooding. In Carisbrook, central Victoria, over the same period the local catchment area received the most significant rainfall totals in more than 100 years. The southwest side of the town was flooded by overland flows from the Mosquito Flat and Craigie catchment area between Carisbrook and Maryborough. A number of properties in the town were affected and the Pyrenees Highway was closed.",57200000.0,0.0,VIC,Dec99,1
NorthQLD-Feb00,Flood - North and Central Queensland,Queensland,"Cairns, Townsville",Flood,2000-02-05,2000-04-04,1.0,10.0,38000000,https://knowledge.aidr.org.au/resources/flood-north-and-central-queensland/ https://knowledge.aidr.org.au/resources/cyclone-cyclone-steve-queensland/ https://knowledge.aidr.org.au/resources/cyclone-cyclone-tessi-queensland/,"Blended event: [https://knowledge.aidr.org.au/resources/flood-north-and-central-queensland/] In February 2000, Queensland’s far north experienced heavy rainfall during three distinct wet periods. The first of these affected coastal catchments from Mackay to Ingham from early to mid-February, Then from mid-February, heavy rainfall occurred in the far western catchments, followed by Cyclone Steven in late February, which caused flooding from Ingham to Cooktown. .Across the month of February, minor flooding occurred at Pioneer River, Burdekin River, Barron River, Paroo River and Gulf River. Moderate and/or major flooding occurred at Don River, Haughton River, Herbert River, Tully River, Bulloo River, lower Barron River, Thomson River, Barcoo River, Cooper Creek, Diamantina River and Georgina River/Eyre Creek..The city of Cairns was also affected. Emergency services opened a disaster co-ordination centre after a record 208 mm deluge. .More than 3000 sandbags were distributed to Cairns residents and it was reported that around whilst 10,000 residents experienced blackouts..Almost a third of Queensland was declared a natural disaster area by the State Government in the wake of the extensive flooding throughout northern, central and western Queensland.  In relative terms one out of three individuals were directly affected by the floods..Wide spread floods caused damage to plantations, crops and infrastructure, which resulted in several large damage estimates.  This included $70 million to cane and banana industries along with $50 million to existing infrastructure. .The Insurance Council of Australia estimated the 2000 damage at $12 million, with the 2011 estimated normalised cost of $30 million. [https://knowledge.aidr.org.au/resources/cyclone-cyclone-steve-queensland/] Cyclone Steve formed in the northern Coral Sea, near Willis Island, and developed into a cyclone at approximately 7 am on 27 February 2000. The cyclone intensified further during the day to reach Category 2 intensity by 1 pm, before crossing the east Queensland coast to the near north of Cairns at approximately 7 pm..Cyclone Steve caused major flooding between Cairns and Mareeba. A record flood level of 12.4 m was reached at Mareeba at 4.37 am on 28 February 2000, with 90 people requiring evacuation and the railway bridge washed away. Many buildings in Cairns suffered severe water damage including the Cairns Hospital. Wind gusts of up to 150 km per hour caused several buildings in Cairns and Kuranda to lose their roofs. Hundreds of trees were uprooted and powerlines were brought down throughout the district, disrupting supplies to more than 40,000 residents. The two highways to the Atherton Tablelands were closed by fallen trees and landslides. Crop damage by floods and winds was severe, notably the sugar cane industry..Cairns Emergency Services answered over 1200 calls during the course of Cyclone Steve, while the Disaster Coordination Centre took another 1800 calls. One person from the town of Cardwell was killed by the floods following the cyclone..The Insurance Council of Australia estimated the 2000 damage at $11 million, with the 2011 estimated normalised cost of $31 million..NOTE: This is the cost and summary for Queensland exclusively; Cyclone Steve also impacted on Northern Territory and Western Australia. [https://knowledge.aidr.org.au/resources/cyclone-cyclone-tessi-queensland/] A tropical low in the northern Coral Sea deepened into tropical Cyclone Tessi on 2 April 2000 and crossed the coast near Bambaroo and Crystal Creek (80 km north of Townsville) early on 3 April as a category 2 cyclone. Winds unroofed buildings, uprooted trees and power lines fell in the area between Ingham and Ayr. Approximately 70 per cent of Townsville lost power..Heavy rain caused landslides on Townsville's Castle Hill destroying two homes and requiring the evacuation of another 50. Townsville Airport reported a record April wind gust of 130 km per hour and a daily rainfall total of 271.6 mm..Although damage was widespread, the impact was considered minor..The Insurance Council of Australia estimated the 2001 damage at $15 million, with the 2011 estimated normalised cost of $41 million.","Blended event: [https://knowledge.aidr.org.au/resources/flood-north-and-central-queensland/] Bureau of Meteorology, Queensland flood summary 2000-2009, website viewed 5 May 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 15 May 2011. [https://knowledge.aidr.org.au/resources/cyclone-cyclone-steve-queensland/] ABC, The world today archive - Cyclone Steve, 7 March 2000, website viewed 18 July 2011
Bureau of Meteorology, The impact from Tropical Cyclone Steve, 2011, website viewed 18 July 2011
Bureau of Meteorology, Tropical Cyclone Steve 27 February – 11 March 2000, 2011, website viewed 18 July 2011
Bureau of Meteorology, Tropical Cyclone Steve, 2011, website viewed 18 July 2011
Commonwealth of Australia, Hansard Senate: Cyclone Steve volunteer contribution, 6 March 2000, pp 12197-12198, website viewed 18 July 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012. [https://knowledge.aidr.org.au/resources/cyclone-cyclone-tessi-queensland/] ABC 7.30 Report, Townsville lashed by Tessi, 4 April 2000, website viewed 18 July 2011
Bureau of Meteorology, Appendix 7- The weather of 1999-2000, 2011, website viewed 18 July 2011
Bureau of Meteorology, Tropical Cyclone Tessi, 2011, website viewed 18 July 2011
Commonwealth of Australia, Hansard Senate: Cyclone Tessi, 3 April 2000, p 15005, website viewed 18 July 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 15 May 2012",140.0,155.0,-25.0,-10.0,002,"In February 2000, Queensland’s far north experienced heavy rainfall during three distinct wet periods. The first of these affected coastal catchments from Mackay to Ingham from early to mid-February, Then from mid-February, heavy rainfall occurred in the far western catchments, followed by Cyclone Steven in late February, which caused flooding from Ingham to Cooktown.  Across the month of February, minor flooding occurred at Pioneer River, Burdekin River, Barron River, Paroo River and Gulf River. Moderate and/or major flooding occurred at Don River, Haughton River, Herbert River, Tully River, Bulloo River, lower Barron River, Thomson River, Barcoo River, Cooper Creek, Diamantina River and Georgina River/Eyre Creek.The city of Cairns was also affected. Emergency services opened a disaster co-ordination centre after a record 208 mm deluge. More than 3000 sandbags were distributed to Cairns residents and it was reported that around whilst 10,000 residents experienced blackouts. Almost a third of Queensland was declared a natural disaster area by the State Government in the wake of the extensive flooding throughout northern, central and western Queensland.  In relative terms one out of three individuals were directly affected by the floods. Wide spread floods caused damage to plantations, crops and infrastructure, which resulted in several large damage estimates.",477800000.0,0.0,QLD,Feb00,1
