# --------------------------------------------------
# nrow : 1837
# ncol : 15
# author : Julien Lerat, CSIRO Enviromment
# description : Main towns
# reference : Lerat and Vaze (2024), Nature, submitted
# time_generated : 2024-12-02 16:29:33
# --------------------------------------------------
UCL_CODE21,NAME,SSR_CODE21,SSR_NAME21,SOS_CODE21,SOS_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,xcoord,ycoord,POPULATION_MIN
113005,Grafton,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,42.16780,https://linked.data.gov.au/dataset/asgsed3/UCL/113005,152.93256,-29.70966,10000.00000
113006,Kempsey,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,47.04020,https://linked.data.gov.au/dataset/asgsed3/UCL/113006,152.79934,-31.07740,10000.00000
113007,Kiama,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,13.03780,https://linked.data.gov.au/dataset/asgsed3/UCL/113007,150.84860,-34.65999,10000.00000
113008,Lithgow,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,24.15170,https://linked.data.gov.au/dataset/asgsed3/UCL/113008,150.15905,-33.48104,10000.00000
113009,Medowie,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,14.47740,https://linked.data.gov.au/dataset/asgsed3/UCL/113009,151.86985,-32.74011,10000.00000
113010,Mudgee,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,23.72910,https://linked.data.gov.au/dataset/asgsed3/UCL/113010,149.56942,-32.59655,10000.00000
113011,Muswellbrook,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,13.22460,https://linked.data.gov.au/dataset/asgsed3/UCL/113011,150.89076,-32.27332,10000.00000
113012,Nelson Bay,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,11.46930,https://linked.data.gov.au/dataset/asgsed3/UCL/113012,152.13420,-32.72573,10000.00000
113013,Raymond Terrace,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,25.53580,https://linked.data.gov.au/dataset/asgsed3/UCL/113013,151.74575,-32.77626,10000.00000
113014,Singleton,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,17.23820,https://linked.data.gov.au/dataset/asgsed3/UCL/113014,151.16330,-32.55276,10000.00000
113015,St Georges Basin,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,9.34710,https://linked.data.gov.au/dataset/asgsed3/UCL/113015,150.61406,-35.09838,10000.00000
113016,Taree,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,37.80660,https://linked.data.gov.au/dataset/asgsed3/UCL/113016,152.45762,-31.89314,10000.00000
113017,Ulladulla,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,21.66500,https://linked.data.gov.au/dataset/asgsed3/UCL/113017,150.46110,-35.35506,10000.00000
113018,Yarrawonga,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,10.58200,https://linked.data.gov.au/dataset/asgsed3/UCL/113018,146.00016,-35.98890,10000.00000
114001,Alstonville,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,4.53830,https://linked.data.gov.au/dataset/asgsed3/UCL/114001,153.44156,-28.83835,5000.00000
114002,Camden Haven,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,18.83620,https://linked.data.gov.au/dataset/asgsed3/UCL/114002,152.79707,-31.63992,5000.00000
114003,Casino,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,12.19230,https://linked.data.gov.au/dataset/asgsed3/UCL/114003,153.04756,-28.86312,5000.00000
114004,Cooma,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,17.79280,https://linked.data.gov.au/dataset/asgsed3/UCL/114004,149.13357,-36.23337,5000.00000
114005,Cootamundra,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,9.09800,https://linked.data.gov.au/dataset/asgsed3/UCL/114005,148.02623,-34.63795,5000.00000
114006,Corowa,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,24.96200,https://linked.data.gov.au/dataset/asgsed3/UCL/114006,146.37283,-36.00691,5000.00000
114007,Cowra,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,23.87540,https://linked.data.gov.au/dataset/asgsed3/UCL/114007,148.67270,-33.83859,5000.00000
114008,Deniliquin,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,35.35350,https://linked.data.gov.au/dataset/asgsed3/UCL/114008,144.95492,-35.54308,5000.00000
114009,Estella,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,8.99390,https://linked.data.gov.au/dataset/asgsed3/UCL/114009,147.35382,-35.06780,5000.00000
114010,Forbes,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,22.60710,https://linked.data.gov.au/dataset/asgsed3/UCL/114010,148.00646,-33.38476,5000.00000
114011,Glen Innes,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,10.12300,https://linked.data.gov.au/dataset/asgsed3/UCL/114011,151.73071,-29.73716,5000.00000
114012,Googong,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,6.91640,https://linked.data.gov.au/dataset/asgsed3/UCL/114012,149.23418,-35.42805,5000.00000
114013,Gunnedah,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,33.35200,https://linked.data.gov.au/dataset/asgsed3/UCL/114013,150.24043,-30.96582,5000.00000
114014,Helensburgh,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,4.42920,https://linked.data.gov.au/dataset/asgsed3/UCL/114014,150.99029,-34.18737,5000.00000
114015,Inverell,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,19.91130,https://linked.data.gov.au/dataset/asgsed3/UCL/114015,151.11402,-29.78145,5000.00000
114016,Leeton,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,13.10930,https://linked.data.gov.au/dataset/asgsed3/UCL/114016,146.40553,-34.55140,5000.00000
114017,Lennox Head,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,6.02780,https://linked.data.gov.au/dataset/asgsed3/UCL/114017,153.58972,-28.80300,5000.00000
114018,Merimbula,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,22.63650,https://linked.data.gov.au/dataset/asgsed3/UCL/114018,149.90961,-36.88602,5000.00000
114019,Moree,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,18.82790,https://linked.data.gov.au/dataset/asgsed3/UCL/114019,149.84106,-29.47787,5000.00000
114020,Moss Vale,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,13.56250,https://linked.data.gov.au/dataset/asgsed3/UCL/114020,150.38197,-34.54945,5000.00000
114021,Murwillumbah,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,26.32830,https://linked.data.gov.au/dataset/asgsed3/UCL/114021,153.40472,-28.33269,5000.00000
114022,Nambucca Heads,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,13.62290,https://linked.data.gov.au/dataset/asgsed3/UCL/114022,152.98894,-30.65443,5000.00000
114023,Narrabri,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,18.12580,https://linked.data.gov.au/dataset/asgsed3/UCL/114023,149.77455,-30.33013,5000.00000
114024,Parkes,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,17.16420,https://linked.data.gov.au/dataset/asgsed3/UCL/114024,148.17638,-33.14103,5000.00000
114025,Pottsville,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,8.95950,https://linked.data.gov.au/dataset/asgsed3/UCL/114025,153.56106,-28.37815,5000.00000
114026,Richmond North,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,5.36250,https://linked.data.gov.au/dataset/asgsed3/UCL/114026,150.70617,-33.58360,5000.00000
114027,Salamander Bay,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,5.56980,https://linked.data.gov.au/dataset/asgsed3/UCL/114027,152.07574,-32.72434,5000.00000
114028,Scone,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,11.00810,https://linked.data.gov.au/dataset/asgsed3/UCL/114028,150.85827,-32.04350,5000.00000
114029,Silverdale,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,6.15370,https://linked.data.gov.au/dataset/asgsed3/UCL/114029,150.61176,-33.90029,5000.00000
114030,South West Rocks,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,12.76050,https://linked.data.gov.au/dataset/asgsed3/UCL/114030,153.05269,-30.89700,5000.00000
114031,Summerland Point,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,7.06480,https://linked.data.gov.au/dataset/asgsed3/UCL/114031,151.57531,-33.13714,5000.00000
114032,Tahmoor,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,4.65360,https://linked.data.gov.au/dataset/asgsed3/UCL/114032,150.59367,-34.21969,5000.00000
114033,Tumut,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,12.08330,https://linked.data.gov.au/dataset/asgsed3/UCL/114033,148.21946,-35.30925,5000.00000
114034,Wauchope,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,24.19300,https://linked.data.gov.au/dataset/asgsed3/UCL/114034,152.72753,-31.46528,5000.00000
114035,Woolgoolga,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,9.10190,https://linked.data.gov.au/dataset/asgsed3/UCL/114035,153.19197,-30.11500,5000.00000
114036,Yamba,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,8.89240,https://linked.data.gov.au/dataset/asgsed3/UCL/114036,153.33875,-29.43319,5000.00000
114037,Yass,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,8.15770,https://linked.data.gov.au/dataset/asgsed3/UCL/114037,148.91320,-34.83820,5000.00000
114038,Young,114,"5,000 to 9,999",11,Other Urban,1,New South Wales,AUS,Australia,11.48380,https://linked.data.gov.au/dataset/asgsed3/UCL/114038,148.29729,-34.31973,5000.00000
115001,Aberdeen,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.68270,https://linked.data.gov.au/dataset/asgsed3/UCL/115001,150.89345,-32.16785,4999.00000
115002,Anna Bay,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.96500,https://linked.data.gov.au/dataset/asgsed3/UCL/115002,152.10167,-32.78144,4999.00000
115003,Appin,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,2.71040,https://linked.data.gov.au/dataset/asgsed3/UCL/115003,150.78944,-34.20193,4999.00000
115004,Arrawarra,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,7.24120,https://linked.data.gov.au/dataset/asgsed3/UCL/115004,153.19397,-30.06522,4999.00000
115005,Balranald,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.52940,https://linked.data.gov.au/dataset/asgsed3/UCL/115005,143.55873,-34.63576,4999.00000
115006,Bangalow,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,1.84850,https://linked.data.gov.au/dataset/asgsed3/UCL/115006,153.52402,-28.68578,4999.00000
115007,Bargo,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.49390,https://linked.data.gov.au/dataset/asgsed3/UCL/115007,150.57653,-34.28912,4999.00000
115008,Barham,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.22400,https://linked.data.gov.au/dataset/asgsed3/UCL/115008,144.13189,-35.62346,4999.00000
115009,Barooga,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.69340,https://linked.data.gov.au/dataset/asgsed3/UCL/115009,145.69133,-35.90622,4999.00000
115010,Barraba,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,2.69890,https://linked.data.gov.au/dataset/asgsed3/UCL/115010,150.60676,-30.38405,4999.00000
115011,Basin View,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.87680,https://linked.data.gov.au/dataset/asgsed3/UCL/115011,150.56197,-35.08764,4999.00000
115012,Batlow,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,2.86160,https://linked.data.gov.au/dataset/asgsed3/UCL/115012,148.14660,-35.52049,4999.00000
115013,Bega,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,6.76750,https://linked.data.gov.au/dataset/asgsed3/UCL/115013,149.83816,-36.67960,4999.00000
115014,Bellingen,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.61390,https://linked.data.gov.au/dataset/asgsed3/UCL/115014,152.89933,-30.45179,4999.00000
115015,Bermagui,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,9.22230,https://linked.data.gov.au/dataset/asgsed3/UCL/115015,150.06318,-36.43201,4999.00000
115016,Berridale,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,2.26420,https://linked.data.gov.au/dataset/asgsed3/UCL/115016,148.83063,-36.36831,4999.00000
115017,Berry,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.00970,https://linked.data.gov.au/dataset/asgsed3/UCL/115017,150.68551,-34.77355,4999.00000
115018,Bingara,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.92560,https://linked.data.gov.au/dataset/asgsed3/UCL/115018,150.56566,-29.87002,4999.00000
115019,Blackheath,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,15.95550,https://linked.data.gov.au/dataset/asgsed3/UCL/115019,150.29547,-33.62588,4999.00000
115020,Blayney,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.36960,https://linked.data.gov.au/dataset/asgsed3/UCL/115020,149.25048,-33.52959,4999.00000
115021,Bombala,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.18460,https://linked.data.gov.au/dataset/asgsed3/UCL/115021,149.23839,-36.90979,4999.00000
115022,Bonny Hills,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,2.74910,https://linked.data.gov.au/dataset/asgsed3/UCL/115022,152.83758,-31.58831,4999.00000
115023,Boorowa,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,6.07950,https://linked.data.gov.au/dataset/asgsed3/UCL/115023,148.72052,-34.44438,4999.00000
115024,Bourke,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,6.53380,https://linked.data.gov.au/dataset/asgsed3/UCL/115024,145.93707,-30.09272,4999.00000
115025,Bowen Mountain,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,0.90650,https://linked.data.gov.au/dataset/asgsed3/UCL/115025,150.62527,-33.57590,4999.00000
115026,Braidwood,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.87040,https://linked.data.gov.au/dataset/asgsed3/UCL/115026,149.79470,-35.44152,4999.00000
115027,Branxton,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.74130,https://linked.data.gov.au/dataset/asgsed3/UCL/115027,151.35578,-32.65653,4999.00000
115028,Broulee,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.74050,https://linked.data.gov.au/dataset/asgsed3/UCL/115028,150.17513,-35.84259,4999.00000
115029,Brunswick Heads,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.04610,https://linked.data.gov.au/dataset/asgsed3/UCL/115029,153.54772,-28.55305,4999.00000
115030,Bulahdelah,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,2.58210,https://linked.data.gov.au/dataset/asgsed3/UCL/115030,152.20839,-32.40658,4999.00000
115031,Bundanoon,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,9.65030,https://linked.data.gov.au/dataset/asgsed3/UCL/115031,150.29756,-34.65810,4999.00000
115032,Bundeena,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,1.17860,https://linked.data.gov.au/dataset/asgsed3/UCL/115032,151.15169,-34.08545,4999.00000
115033,Bungendore,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.06790,https://linked.data.gov.au/dataset/asgsed3/UCL/115033,149.44252,-35.25245,4999.00000
115034,Buxton,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,1.58800,https://linked.data.gov.au/dataset/asgsed3/UCL/115034,150.53220,-34.25763,4999.00000
115035,Calala,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.22680,https://linked.data.gov.au/dataset/asgsed3/UCL/115035,150.94963,-31.13302,4999.00000
115036,Callala Bay,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.07200,https://linked.data.gov.au/dataset/asgsed3/UCL/115036,150.70259,-35.00713,4999.00000
115037,Cambewarra Village,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,0.99500,https://linked.data.gov.au/dataset/asgsed3/UCL/115037,150.55875,-34.82250,4999.00000
115038,Canowindra,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.20400,https://linked.data.gov.au/dataset/asgsed3/UCL/115038,148.66512,-33.56258,4999.00000
115039,Cobar,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,9.58930,https://linked.data.gov.au/dataset/asgsed3/UCL/115039,145.83614,-31.49927,4999.00000
115040,Colo Vale,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.38990,https://linked.data.gov.au/dataset/asgsed3/UCL/115040,150.48550,-34.40243,4999.00000
115041,Condobolin,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,8.58650,https://linked.data.gov.au/dataset/asgsed3/UCL/115041,147.14740,-33.08553,4999.00000
115042,Coolamon,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.44190,https://linked.data.gov.au/dataset/asgsed3/UCL/115042,147.20065,-34.81637,4999.00000
115043,Coonabarabran,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,11.02190,https://linked.data.gov.au/dataset/asgsed3/UCL/115043,149.27653,-31.27295,4999.00000
115044,Coonamble,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,10.17310,https://linked.data.gov.au/dataset/asgsed3/UCL/115044,148.38085,-30.96226,4999.00000
115045,Coraki,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.00210,https://linked.data.gov.au/dataset/asgsed3/UCL/115045,153.28022,-28.99302,4999.00000
115046,Corindi Beach,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,2.38460,https://linked.data.gov.au/dataset/asgsed3/UCL/115046,153.19785,-30.02800,4999.00000
115047,Crookwell,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.91730,https://linked.data.gov.au/dataset/asgsed3/UCL/115047,149.46674,-34.45983,4999.00000
115048,Culburra Beach,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,7.05680,https://linked.data.gov.au/dataset/asgsed3/UCL/115048,150.75952,-34.91895,4999.00000
115049,Culcairn,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,2.53250,https://linked.data.gov.au/dataset/asgsed3/UCL/115049,147.04249,-35.66564,4999.00000
115050,Cumbalum,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,1.72830,https://linked.data.gov.au/dataset/asgsed3/UCL/115050,153.53529,-28.82222,4999.00000
115051,Dalmeny,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.43530,https://linked.data.gov.au/dataset/asgsed3/UCL/115051,150.11477,-36.16847,4999.00000
115052,Denman,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,3.25420,https://linked.data.gov.au/dataset/asgsed3/UCL/115052,150.68142,-32.38893,4999.00000
115053,Dorrigo,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,4.21950,https://linked.data.gov.au/dataset/asgsed3/UCL/115053,152.70968,-30.34070,4999.00000
115054,Douglas Park,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,5.94370,https://linked.data.gov.au/dataset/asgsed3/UCL/115054,150.71349,-34.18562,4999.00000
115055,Dungog,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,6.48340,https://linked.data.gov.au/dataset/asgsed3/UCL/115055,151.75052,-32.40590,4999.00000
115056,Eden,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,8.16100,https://linked.data.gov.au/dataset/asgsed3/UCL/115056,149.90448,-37.05371,4999.00000
115057,Evans Head,115,"4,999 or less",11,Other Urban,1,New South Wales,AUS,Australia,9.43220,https://linked.data.gov.au/dataset/asgsed3/UCL/115057,153.42092,-29.11093,4999.00000
